#,Name,ID,Rating,Fed,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Rd 9,Total
1,GM Semen Khanin,17346301,2576,FID,W29 (b),W67 (w),W33 (b),W3 (w),W16 (b),W18 (w),W8 (w),D6 (b),D5 (w),8.0
2,GM Jianchao Zhou,15524414,2585,USA,D64 (b),L20 (w),W85 (b),W72 (w),W29 (b),W22 (w),D4 (b),W3 (w),W21 (b),7.0
3,GM Cristhian Cruz,15574203,2472,PER,W66 (w),W84 (b),W31 (w),L1 (b),W19 (w),W17 (b),D5 (w),L2 (b),W18 (w),6.5
4,IM Samrug Narayanan,14653287,2432,USA,W58 (b),W32 (w),W107 (b),D16 (w),L17 (w),W20 (b),D2 (w),W9 (b),D6 (w),6.5
5,GM Bharathakoti Harsha,17343762,2532,IND,W70 (b),D65 (w),W72 (b),D8 (w),D22 (b),W32 (w),D3 (b),W16 (w),D1 (b),6.5
6,GM Emilio Cordova Daza,13208885,2513,PER,W100 (w),D49 (b),W64 (w),D23 (b),D9 (w),W46 (b),W11 (w),D1 (w),D4 (b),6.5
7,IM Sam A Schmakel,12887417,2449,USA,W43 (w),W46 (b),D24 (w),D19 (b),W31 (w),L8 (b),D30 (w),W37 (b),W17 (w),6.5
8,IM Anthony Atanasov,30050485,2402,CAN,D47 (w),W79 (b),W50 (w),D5 (b),W48 (w),W7 (w),L1 (b),D17 (b),D15 (w),6.0
9,IM Sebastian Kostolansky,16423881,2402,SVK,W73 (b),D72 (w),W97 (b),W21 (w),D6 (b),D11 (w),D16 (b),L4 (w),W35 (b),6.0
10,FM Tugstumur Yesuntumur,30472634,2396,MGL,W25 (b),W63 (w),L16 (b),W12 (w),D46 (b),D13 (w),L36 (b),W32 (w),W34 (b),6.0
11,FM Sharvesh R Deviprasath,14761270,2420,USA,W86 (w),W48 (b),W93 (w),L17 (b),W38 (w),D9 (b),L6 (b),W36 (w),D16 (b),6.0
12,IM Jason Liang,16041488,2378,USA,W85 (w),D50 (b),W77 (w),L10 (b),D30 (w),W40 (b),D23 (w),D24 (b),W31 (w),6.0
13,GM Alvar Alonso Rosell,New,2550,ESP,L39 (w),D87 (b),W101 (w),W100 (b),W67 (w),D10 (b),D19 (w),D30 (b),W36 (w),6.0
14,IM Craig Hilby,13744720,2412,USA,D97 (b),W103 (w),W68 (b),W20 (w),L18 (b),L16 (w),D46 (w),W49 (b),W30 (w),6.0
15,GM Lazaro Bruzon Batista,15199286,2556,USA,H---,D47 (b),D100 (w),D64 (b),W45 (w),H---,W51 (b),W41 (w),D8 (b),6.0
16,GM John Michael Burke,14069596,2577,USA,W40 (w),W38 (b),W10 (w),D4 (b),L1 (w),W14 (b),D9 (w),L5 (b),D11 (w),5.5
17,GM Fidel Corrales Jimenez,14958890,2543,USA,W74 (b),D22 (w),W65 (b),W11 (w),W4 (b),L3 (w),D18 (b),D8 (w),L7 (b),5.5
18,IM Nico Werner Chasin,14955471,2446,USA,H---,W52 (b),W49 (w),W24 (b),W14 (w),L1 (b),D17 (w),D21 (w),L3 (b),5.5
19,GM Alexander Fishbein,12077910,2377,USA,W94 (b),W57 (w),D21 (b),D7 (w),L3 (b),W29 (w),D13 (b),D25 (w),D22 (b),5.5
20,Andrew Lewis Titus,14060637,2176,USA,D23 (w),W2 (b),W37 (w),L14 (b),W53 (w),L4 (w),D33 (b),D51 (b),W54 (w),5.5
21,GM Robby Kevlishvili,16863611,2541,NED,W62 (w),W51 (b),D19 (w),L9 (b),W34 (w),D23 (b),W38 (w),D18 (b),L2 (w),5.5
22,FM Dachey Lin,13147854,2307,USA,W75 (w),D17 (b),D104 (w),W39 (b),D5 (w),L2 (b),W42 (w),D31 (b),D19 (w),5.5
23,GM Nikola Mitkov,12710197,2387,MKD,D20 (b),W76 (w),W71 (b),D6 (w),D32 (b),D21 (w),D12 (b),D34 (w),D25 (b),5.5
24,Naveen Prabhu,14949284,2196,USA,W28 (b),W36 (w),D7 (b),L18 (w),D61 (b),W35 (w),D37 (b),D12 (w),H---,5.5
